Recognized ABC Sieve file:
ABC File
Switching to Exponentiating using GMP
(394^1558-1)^2-2 is composite: RES64: [4BF518A98DF139F0] (7.4849s+0.1744s)
(394^1566-1)^2-2 is composite: RES64: [BD993595E68F7DAE] (6.1609s+0.1323s)
(394^1567-1)^2-2 is composite: RES64: [070621A270F3D0EB] (11.6590s+0.0597s)
(394^1572-1)^2-2 is composite: RES64: [47DF9B5053FB0700] (10.2284s+0.4130s)
(394^1580+1)^2-2 is composite: RES64: [C832149C1B512D07] (7.0239s+0.1321s)
(394^1590+1)^2-2 is composite: RES64: [4BDBB67F9893D878] (7.2816s+0.0738s)
(394^1593+1)^2-2 is composite: RES64: [7C830CB7B9CEA5E0] (6.6522s+0.0962s)
(394^1614+1)^2-2 is composite: RES64: [8CC99D0F3DDB96E0] (6.3108s+0.0707s)
(394^1620-1)^2-2 is composite: RES64: [02DD6CAB9571A487] (6.9544s+0.0912s)
(394^1633-1)^2-2 is composite: RES64: [0EC6CA79DCFCD5CC] (7.1602s+0.0894s)
(394^1639-1)^2-2 is composite: RES64: [F2E07B68FFBCF45E] (7.9331s+0.1751s)
(394^1641+1)^2-2 is composite: RES64: [23ABB70D7371117A] (8.9095s+0.0740s)
(394^1642-1)^2-2 is composite: RES64: [540670AF8AA97B09] (6.9074s+0.1307s)
(394^1661+1)^2-2 is composite: RES64: [3E5C5FCC1620B7FF] (6.2228s+0.1431s)
(394^1668-1)^2-2 is composite: RES64: [E98EBFECE67F3659] (8.9108s+0.1202s)
(394^1682+1)^2-2 is composite: RES64: [CBF46F30940E4C40] (6.2565s+0.1285s)
(394^1692+1)^2-2 is composite: RES64: [A0808B15CBF2A3A5] (6.5428s+0.0681s)
(394^1695+1)^2-2 is composite: RES64: [7F85303647340364] (6.3981s+0.2271s)
(394^1698+1)^2-2 is composite: RES64: [8DB4C3BE90D1ADF2] (6.4160s+0.3811s)
(394^1699-1)^2-2 is composite: RES64: [EB395CADC0742864] (8.4142s+0.0992s)
(394^1707+1)^2-2 is composite: RES64: [7624ACBB43B216A7] (7.6524s+0.3441s)
(394^1710-1)^2-2 is composite: RES64: [194DAA0FF835A0A1] (6.7635s+0.0647s)
(394^1713+1)^2-2 is composite: RES64: [A96A69080B339E5A] (6.7371s+0.0992s)
(394^1722+1)^2-2 is composite: RES64: [BD90E2CB90D1763A] (7.0608s+0.1904s)
(394^1725+1)^2-2 is composite: RES64: [2A28E66E0CD436A5] (8.2857s+0.0771s)
(394^1727+1)^2-2 is composite: RES64: [C38EA086A9D7BABF] (6.6828s+0.4066s)
(394^1728+1)^2-2 is composite: RES64: [53457FF50A33DAAE] (8.2226s+0.1011s)
(394^1737+1)^2-2 is composite: RES64: [C487F0C251EA89EC] (7.9584s+0.0873s)
(394^1740+1)^2-2 is composite: RES64: [D33ABC1481654CC9] (7.0689s+0.2546s)
(394^1750-1)^2-2 is composite: RES64: [05185B997A34E279] (6.4382s+0.1212s)
(394^1753-1)^2-2 is composite: RES64: [7FC29A3E21910332] (6.8924s+0.1152s)
(394^1759-1)^2-2 is composite: RES64: [E585A9DD0FE652F1] (6.6167s+0.1483s)
(394^1761+1)^2-2 is composite: RES64: [B90B2792D0987FC8] (6.9054s+0.1012s)
(394^1762-1)^2-2 is composite: RES64: [6902F5E4B7973ACB] (7.1632s+0.1583s)
(394^1764+1)^2-2 is composite: RES64: [E0D4F8286D2607A1] (6.4947s+0.1289s)
(394^1765-1)^2-2 is composite: RES64: [DCBDF80F51EEF6F5] (6.5812s+0.2426s)
(394^1767+1)^2-2 is composite: RES64: [9B6A65881D5B2291] (10.8130s+0.1853s)
(394^1770-1)^2-2 is composite: RES64: [5F2E9A42F0C10098] (6.6107s+0.1796s)
(394^1775+1)^2-2 is composite: RES64: [43A51BB66558CEDF] (6.8002s+0.0420s)
(394^1776-1)^2-2 is composite: RES64: [1EDB1B27EF6E6F1C] (6.4071s+0.1388s)
(394^1787+1)^2-2 is composite: RES64: [55548998BF343569] (7.0668s+0.0716s)
(394^1800-1)^2-2 is composite: RES64: [D441C4AE6CCAFD8C] (6.6627s+0.0722s)
(394^1803+1)^2-2 is composite: RES64: [B001AF3947442307] (6.7109s+0.1984s)
(394^1813-1)^2-2 is composite: RES64: [8FA9FECA037ED58F] (6.9958s+0.1253s)
(394^1815-1)^2-2 is composite: RES64: [EE1DD4A9157CEBB1] (7.9777s+0.1332s)
(394^1820+1)^2-2 is composite: RES64: [8E2EE628EE7E1AB2] (6.6087s+0.1639s)
(394^1825-1)^2-2 is composite: RES64: [1D930C7DE993A70F] (6.9636s+0.2724s)
(394^1830-1)^2-2 is composite: RES64: [DA2A1BADA83849ED] (7.0037s+0.0713s)
(394^1836-1)^2-2 is composite: RES64: [F7E8D0463A317F1B] (7.1071s+0.1343s)
(394^1842+1)^2-2 is composite: RES64: [A7F53BA7C2EA3926] (6.5696s+0.1392s)
(394^1843-1)^2-2 is composite: RES64: [75CAA3D0580D848C] (7.4370s+0.2866s)
(394^1850+1)^2-2 is composite: RES64: [A1AB67216CEC9877] (6.9034s+0.0199s)
(394^1860+1)^2-2 is composite: RES64: [9A01D868C080C512] (8.3440s+0.2177s)
(394^1863+1)^2-2 is composite: RES64: [212FAD0D32818E64] (8.5348s+0.0982s)
(394^1866-1)^2-2 is composite: RES64: [20A1F649FB016636] (7.1703s+0.1322s)
(394^1870-1)^2-2 is composite: RES64: [177EC91750E178B6] (8.2378s+0.2677s)
(394^1875-1)^2-2 is composite: RES64: [21EB579C33C5F08F] (7.4347s+0.0903s)
(394^1881+1)^2-2 is composite: RES64: [586193FEA82CCC4C] (7.5551s+0.2857s)
(394^1893-1)^2-2 is composite: RES64: [A309B8E85E3B2B28] (7.4579s+0.1784s)
(394^1901+1)^2-2 is composite: RES64: [1B3F728FE24F7414] (7.3296s+0.0741s)
(394^1905+1)^2-2 is composite: RES64: [E3A8FCD86AE2B51C] (9.2617s+0.1924s)
(394^1908+1)^2-2 is composite: RES64: [8FF8CCB9D227250F] (7.4619s+0.1623s)
(394^1910+1)^2-2 is composite: RES64: [99C3EB4C5CD8CE8D] (8.1357s+0.2626s)
(394^1920-1)^2-2 is composite: RES64: [FF068C663BDBAD00] (7.6257s+0.1941s)
(394^1927-1)^2-2 is composite: RES64: [4C5CCF23FFDA5589] (8.2644s+0.1805s)
(394^1932+1)^2-2 is composite: RES64: [748CE6F270795386] (9.3770s+0.1137s)
(394^1935-1)^2-2 is composite: RES64: [3D57F124AF9420EC] (13.4840s+0.0962s)
(394^1937+1)^2-2 is composite: RES64: [8864F2E8DCD78CA6] (10.0681s+0.1854s)
(394^1938+1)^2-2 is composite: RES64: [AE3E26B20B2963A3] (9.4640s+0.1222s)
(394^1939-1)^2-2 is composite: RES64: [C9151CBA5ED87A8A] (10.3038s+0.0455s)
(394^1953-1)^2-2 is composite: RES64: [CA345E1DE0F704DC] (11.1567s+0.3924s)
(394^1956-1)^2-2 is composite: RES64: [EC84D1822677EA87] (10.4862s+0.0910s)
(394^1960-1)^2-2 is composite: RES64: [D59A318D2EF71FF3] (11.5050s+0.1167s)
(394^1965+1)^2-2 is composite: RES64: [0D9610A9F97734CA] (10.1592s+0.0651s)
(394^1967+1)^2-2 is composite: RES64: [98E4EA107070704D] (11.0388s+0.1332s)
(394^1968-1)^2-2 is composite: RES64: [35D4E4B23325E685] (9.3709s+0.0969s)
(394^1980-1)^2-2 is composite: RES64: [2DB116AC431FD9A4] (10.1091s+0.1623s)
(394^1988+1)^2-2 is composite: RES64: [F5DD6F3316F6883B] (9.0221s+0.0680s)
(394^1990-1)^2-2 is composite: RES64: [37E6FE1548C35F83] (10.6625s+0.0972s)
(394^1998+1)^2-2 is composite: RES64: [59AF94E70B5BA25E] (9.8170s+0.2526s)
(394^2004+1)^2-2 is composite: RES64: [BD34853756A830F2] (9.8052s+0.0703s)
(394^2007+1)^2-2 is composite: RES64: [B6A1554BC408B043] (10.0622s+0.3047s)
(394^2015+1)^2-2 is composite: RES64: [ECC74632CFA4ABB0] (9.5605s+0.0668s)
(394^2016-1)^2-2 is composite: RES64: [9B0FF6FF8D39144E] (13.7859s+0.1222s)
(394^2019-1)^2-2 is composite: RES64: [4AFC84B37BB693B6] (11.8165s+0.4159s)
(394^2023-1)^2-2 is composite: RES64: [0D3A8B8FBA1BDE28] (10.2190s+0.1690s)
(394^2025-1)^2-2 is composite: RES64: [8633080BF6B0490C] (9.6163s+0.1393s)
(394^2030+1)^2-2 is composite: RES64: [D7E6EF9F41E28410] (11.1969s+0.2114s)
(394^2034+1)^2-2 is composite: RES64: [42618735DAF97D9F] (11.4987s+0.0821s)
(394^2046-1)^2-2 is composite: RES64: [7C027886CAAD9D7B] (12.1324s+0.4190s)
(394^2052+1)^2-2 is composite: RES64: [EFFF6B70F7AF0239] (10.1537s+0.1994s)
(394^2061+1)^2-2 is composite: RES64: [DEB6F365D820C209] (11.0723s+0.0915s)
(394^2062-1)^2-2 is composite: RES64: [47CA3167BA0755DC] (12.0925s+0.2688s)
(394^2068-1)^2-2 is composite: RES64: [5CC4453AD73247A9] (10.6310s+0.2036s)
(394^2070+1)^2-2 is composite: RES64: [37A7C4A3EFCD0E32] (13.5611s+0.2425s)
(394^2088+1)^2-2 is composite: RES64: [44C51EA8DBC2AF53] (11.5869s+0.2806s)
(394^2091+1)^2-2 is composite: RES64: [EEF788C3B7F9743B] (11.3061s+0.3901s)
(394^2095-1)^2-2 is composite: RES64: [32FD28106F0FF145] (11.8426s+0.1022s)
(394^2100-1)^2-2 is composite: RES64: [752FC2F6CDFC7666] (9.9782s+0.0800s)
(394^2103+1)^2-2 is composite: RES64: [3DCBC48337161433] (11.8525s+0.3081s)
(394^2103-1)^2-2 is composite: RES64: [CF9D800174881544] (10.6113s+0.1314s)
(394^2113-1)^2-2 is composite: RES64: [7F4CDEAB6591E424] (11.3243s+0.1623s)
(394^2115-1)^2-2 is composite: RES64: [68C16F6EEEEAA142] (9.9145s+0.1030s)
(394^2121+1)^2-2 is composite: RES64: [1C44ADB6773364B4] (10.7542s+0.1417s)
(394^2127-1)^2-2 is composite: RES64: [937A0E07C819C219] (11.4793s+0.0644s)
(394^2130-1)^2-2 is composite: RES64: [58BBADD058995EAB] (12.4302s+0.3438s)
(394^2135+1)^2-2 is composite: RES64: [567C935E7F54095F] (11.8955s+0.1615s)
(394^2138+1)^2-2 is composite: RES64: [936F6BB56D39C79F] (11.9188s+0.1794s)
(394^2142+1)^2-2 is composite: RES64: [E59304192EA539B8] (11.3423s+0.2466s)
(394^2157+1)^2-2 is composite: RES64: [5BF45B592FE4A3A3] (13.2634s+0.1423s)
(394^2162+1)^2-2 is composite: RES64: [BC8ED7244C3CDA27] (11.2059s+0.1683s)
(394^2163-1)^2-2 is composite: RES64: [05AB92599CF278BA] (11.0918s+0.2754s)
(394^2172+1)^2-2 is composite: RES64: [707C01E4F02E8CE3] (11.7143s+0.1663s)
(394^2178+1)^2-2 is composite: RES64: [450652C3CAE08EAF] (11.3954s+0.2776s)
(394^2179-1)^2-2 is composite: RES64: [FEE207C9A8704AC9] (12.4103s+0.1994s)
(394^2183+1)^2-2 is composite: RES64: [2C197768D881185A] (12.0021s+0.1812s)
(394^2184+1)^2-2 is composite: RES64: [7C28A9542CA0D34F] (12.0421s+0.0800s)
(394^2187+1)^2-2 is composite: RES64: [3E2DBB3BA98E9F55] (11.2478s+0.1435s)
(394^2193-1)^2-2 is composite: RES64: [42C14CE83B292448] (12.6689s+0.0942s)
(394^2196-1)^2-2 is composite: RES64: [060877ABDB600990] (12.7309s+0.2705s)
(394^2199-1)^2-2 is composite: RES64: [F710E1DF4FBB77BD] (11.4767s+0.0611s)
(394^2200-1)^2-2 is composite: RES64: [535BB1BD982A1A8C] (11.0013s+0.1041s)
(394^2201+1)^2-2 is composite: RES64: [961B34FD61CDA2F1] (11.2901s+0.2576s)
(394^2210+1)^2-2 is composite: RES64: [6BDF067F9521EF2D] (10.9472s+0.2034s)
(394^2212-1)^2-2 is composite: RES64: [7ACAC4789CA240B1] (11.9462s+0.2395s)
(394^2217-1)^2-2 is composite: RES64: [DE88BF149805AFF0] (11.7338s+0.3309s)
(394^2220+1)^2-2 is composite: RES64: [35FB027B64E95CB6] (11.7354s+0.2084s)
(394^2228+1)^2-2 is composite: RES64: [DCE846AAAB766AC4] (11.8406s+0.2384s)
(394^2232+1)^2-2 is composite: RES64: [2F6FFA738F81637E] (12.5735s+0.0961s)
(394^2256-1)^2-2 is composite: RES64: [625FA4343EC6560D] (13.4247s+0.1002s)
(394^2267+1)^2-2 is composite: RES64: [A2BCD1FA13BFC812] (11.8817s+0.1403s)
(394^2268+1)^2-2 is composite: RES64: [57D622C6E0ABE058] (11.6221s+0.1703s)
(394^2268-1)^2-2 is composite: RES64: [D1BFA1E8D8FD6C56] (11.6170s+0.1502s)
(394^2275-1)^2-2 is composite: RES64: [6A7F27E0DFA67187] (16.4769s+0.1663s)
(394^2282+1)^2-2 is composite: RES64: [53CD9D99C04322CB] (14.1048s+0.1272s)
(394^2285+1)^2-2 is composite: RES64: [D2B071FF5CF0A22A] (11.7794s+0.2895s)
(394^2286-1)^2-2 is composite: RES64: [3E4AD6D1AA2ED461] (12.2376s+0.0791s)
(394^2289-1)^2-2 is composite: RES64: [4F0928A9E4072E4D] (12.1062s+0.0909s)
(394^2292+1)^2-2 is composite: RES64: [80D0FC99579AA1F5] (13.8649s+0.6130s)
(394^2298-1)^2-2 is composite: RES64: [29D3E6F88884399B] (12.4817s+0.1763s)
(394^2302-1)^2-2 is composite: RES64: [AC72E257AEBFC3C8] (11.8999s+0.1128s)
(394^2310-1)^2-2 is composite: RES64: [6A06EF6239CB1BCB] (12.0541s+0.1280s)
(394^2312+1)^2-2 is composite: RES64: [B913069FE8D11602] (11.9832s+0.1022s)
(394^2319-1)^2-2 is composite: RES64: [CC4952C30F5504F3] (13.4591s+0.3115s)
(394^2321+1)^2-2 is composite: RES64: [8B94A904BA827CF4] (12.2567s+0.1150s)
(394^2322+1)^2-2 is composite: RES64: [BD4FB0DC5FA246B6] (12.0601s+0.1493s)
(394^2334+1)^2-2 is composite: RES64: [819DD20FFBC926C1] (12.2908s+0.1593s)
(394^2337+1)^2-2 is composite: RES64: [23092AA870DEFD79] (12.8333s+0.1212s)
(394^2351+1)^2-2 is composite: RES64: [D772E2FE11549791] (16.8249s+0.0980s)
(394^2360+1)^2-2 is composite: RES64: [CEC0CE4D67F734BB] (12.6447s+0.1522s)
(394^2361+1)^2-2 is composite: RES64: [17E0F8B81BDE3286] (14.7484s+0.1814s)
(394^2363+1)^2-2 is composite: RES64: [2E0A09C4C3BA75C4] (12.7570s+0.2545s)
(394^2364+1)^2-2 is composite: RES64: [EA7F5E6E09540BA1] (13.7807s+0.1283s)
(394^2367-1)^2-2 is composite: RES64: [E5099510AFCB3DEC] (12.5425s+0.2365s)
(394^2372+1)^2-2 is composite: RES64: [FA62922A0ADBF63D] (12.5585s+0.2145s)
(394^2388-1)^2-2 is composite: RES64: [C348D06001BC6005] (12.6849s+0.1643s)
(394^2389-1)^2-2 is composite: RES64: [89263E1944B5DC86] (13.3586s+0.2586s)
(394^2391+1)^2-2 is composite: RES64: [3FD7F0D610E44808] (20.1216s+0.2025s)
(394^2392-1)^2-2 is composite: RES64: [D329C58A60BC6570] (13.2772s+0.1465s)
(394^2394+1)^2-2 is composite: RES64: [4EF6BAAE7B27667B] (13.1756s+0.3293s)
(394^2400-1)^2-2 is composite: RES64: [138BD5B6C6213510] (12.2657s+0.1573s)
(394^2402+1)^2-2 is composite: RES64: [B0B03F0E58450F6C] (14.1639s+0.2735s)
(394^2415+1)^2-2 is composite: RES64: [9B8EC988A7344B42] (13.0639s+0.3077s)
(394^2436-1)^2-2 is composite: RES64: [BB46B29ACF004C35] (12.9693s+0.1717s)
(394^2440-1)^2-2 is composite: RES64: [647906BCF679A7B7] (14.1042s+0.1597s)
(394^2442-1)^2-2 is composite: RES64: [7BCBC66CE14DF075] (14.1838s+0.0510s)
(394^2455-1)^2-2 is composite: RES64: [2B139570E6B724DF] (14.0743s+0.0731s)
(394^2458-1)^2-2 is composite: RES64: [BF4D749C8DC9E1BD] (13.2032s+0.2749s)
(394^2460-1)^2-2 is composite: RES64: [087CB1F906B2C7EC] (13.4712s+0.2913s)
(394^2463-1)^2-2 is composite: RES64: [E03F4FF0CDF6F447] (14.4174s+0.1713s)
(394^2466-1)^2-2 is composite: RES64: [44871BBBD71BF676] (13.1624s+0.2977s)
(394^2472+1)^2-2 is composite: RES64: [A83985395EA26C4B] (13.2945s+0.1420s)
(394^2480+1)^2-2 is composite: RES64: [6CA756A901385BB1] (15.4803s+0.1643s)
(394^2493+1)^2-2 is composite: RES64: [3B0A571AE33883A7] (14.2717s+0.0273s)
(394^2499-1)^2-2 is composite: RES64: [3A2217FE92731FFF] (15.0003s+0.1770s)
(394^2502-1)^2-2 is composite: RES64: [956CAFFC3FD7ADB2] (15.3910s+0.2656s)
(394^2503-1)^2-2 is composite: RES64: [7585F83EA52195DA] (15.1484s+0.1663s)
(394^2515-1)^2-2 is composite: RES64: [666B599BA0A337ED] (13.8088s+0.1262s)
(394^2528+1)^2-2 is composite: RES64: [0D00C2337C7BC5E6] (14.7173s+0.0851s)
(394^2535-1)^2-2 is composite: RES64: [8F93FA391AE9CD7C] (13.8291s+0.2344s)
(394^2550+1)^2-2 is composite: RES64: [5B95E4073CEA08B0] (14.3924s+0.0949s)
(394^2558+1)^2-2 is composite: RES64: [4D681E15909FDAB2] (14.0234s+0.1904s)
(394^2561+1)^2-2 is composite: RES64: [6A3B5A9C3CE99361] (15.5505s+0.2145s)
(394^2572-1)^2-2 is composite: RES64: [BB210FE2C63D1742] (17.2550s+0.0881s)
(394^2573+1)^2-2 is composite: RES64: [2C79D652C42BBE21] (19.1841s+0.2114s)
(394^2586-1)^2-2 is composite: RES64: [AF63E1AB984E7C09] (18.9606s+0.0981s)
(394^2595-1)^2-2 is composite: RES64: [7C9A11FF7A303FD5] (17.1056s+0.1432s)
(394^2601+1)^2-2 is composite: RES64: [B858C6A90EC05212] (17.6648s+0.1944s)
(394^2613-1)^2-2 is composite: RES64: [D7A55E1BD36B139F] (33.5994s+0.0684s)
(394^2616-1)^2-2 is composite: RES64: [8297EF73D98B0B01] (28.8137s+0.9273s)
(394^2617-1)^2-2 is composite: RES64: [AAAA07438E61632D] (36.8367s+0.3141s)
(394^2620-1)^2-2 is composite: RES64: [29F7A26D9C0EE274] (22.4552s+0.2902s)
(394^2622-1)^2-2 is composite: RES64: [8F6E6DCC5642F139] (30.9525s+0.1624s)
(394^2628-1)^2-2 is composite: RES64: [3BDEF99BC2B723B0] (23.8202s+0.2597s)
(394^2629-1)^2-2 is composite: RES64: [1A5C40A04C937DC0] (18.2215s+0.7489s)
(394^2632-1)^2-2 is composite: RES64: [6681CF9DE4ADE602] (18.6910s+0.2052s)
(394^2643-1)^2-2 is composite: RES64: [EC6D94250F3C9752] (17.8683s+0.1493s)
(394^2648+1)^2-2 is composite: RES64: [01E9EB3616DCD1A5] (17.3564s+0.1857s)
(394^2650-1)^2-2 is composite: RES64: [E72DECE91CC5611D] (19.6584s+0.1411s)
(394^2660+1)^2-2 is composite: RES64: [1439F46F05BC2B7B] (17.5684s+0.0740s)
(394^2667+1)^2-2 is composite: RES64: [BD8D6ABF6A3EA08B] (18.2440s+0.0010s)
(394^2680-1)^2-2 is composite: RES64: [89486F240D4264D7] (19.4869s+0.3026s)
(394^2681+1)^2-2 is composite: RES64: [54FB8DC5D1280A42] (18.9912s+0.1031s)
(394^2690+1)^2-2 is composite: RES64: [7EC7C23AAD06BA00] (18.4070s+0.2840s)
(394^2694+1)^2-2 is composite: RES64: [09617ACA2464355D] (19.4820s+0.0640s)
(394^2698-1)^2-2 is composite: RES64: [78917E7F7A6BC6E8] (18.2627s+0.2014s)
(394^2703+1)^2-2 is composite: RES64: [D7E2C42C63CCEF20] (18.5495s+0.0891s)
(394^2709-1)^2-2 is composite: RES64: [DA1555163C77CD9F] (19.0247s+0.2034s)
(394^2711+1)^2-2 is composite: RES64: [E9CA282262CB0DA1] (19.6293s+0.1904s)
(394^2712+1)^2-2 is composite: RES64: [01CD8400E48E382C] (18.9856s+0.1152s)
(394^2713-1)^2-2 is composite: RES64: [0512F1746E6EF919] (19.0658s+0.1773s)
(394^2717+1)^2-2 is composite: RES64: [5DD8DF405DB3958D] (19.1039s+0.2315s)
(394^2724+1)^2-2 is composite: RES64: [2CEDEF9086C41E26] (18.1894s+0.2988s)
(394^2727-1)^2-2 is composite: RES64: [DFDAE6650F7331D1] (18.0894s+0.1251s)
(394^2732+1)^2-2 is composite: RES64: [0A9F262BA8369BCB] (19.2734s+0.1320s)
(394^2733+1)^2-2 is composite: RES64: [4A9DCFDAC08B3CE6] (18.6648s+0.0570s)
(394^2739-1)^2-2 is composite: RES64: [F193907109783D45] (19.3245s+0.1874s)
(394^2748+1)^2-2 is composite: RES64: [1ADACC3FC16B53CF] (21.3348s+0.4250s)
(394^2760+1)^2-2 is composite: RES64: [A77CB1C093571238] (21.3309s+0.2987s)
(394^2763+1)^2-2 is composite: RES64: [050EBD8F889807A4] (18.8542s+0.2094s)
(394^2765+1)^2-2 is composite: RES64: [1F700879209436F9] (21.7455s+0.0985s)
(394^2767-1)^2-2 is composite: RES64: [3E101AE9E7DEBA20] (22.5862s+0.0921s)
(394^2768+1)^2-2 is composite: RES64: [1B8318A1BB933912] (19.6534s+0.1242s)
(394^2770-1)^2-2 is composite: RES64: [6BB68436E6E26315] (20.2831s+0.2084s)
(394^2778-1)^2-2 is composite: RES64: [7F3A21CB9628E3CB] (18.5855s+0.2034s)
(394^2781+1)^2-2 is composite: RES64: [BFADA08AADC20724] (19.8007s+0.2385s)
(394^2793+1)^2-2 is composite: RES64: [6AE105D104190B79] (19.1519s+0.0311s)
(394^2796-1)^2-2 is composite: RES64: [D48CA56C628011B1] (18.9846s+0.1552s)
(394^2805-1)^2-2 is composite: RES64: [B827FB5384D984B3] (18.6256s+0.0801s)
(394^2808-1)^2-2 is composite: RES64: [B71AD37E9DB72AA0] (21.1042s+0.1011s)
(394^2811+1)^2-2 is composite: RES64: [56E2EF23FD45AB40] (18.8289s+0.0876s)
(394^2815-1)^2-2 is composite: RES64: [721C4F9EF3299F28] (19.1320s+0.2623s)
(394^2818-1)^2-2 is composite: RES64: [089E5E443FB44F63] (20.5969s+0.1593s)
(394^2825+1)^2-2 is composite: RES64: [5C7EB2D820EC51F3] (19.0361s+0.2155s)
(394^2830-1)^2-2 is composite: RES64: [6EF9EF12EE0BCCDB] (19.3526s+0.0908s)
(394^2838+1)^2-2 is composite: RES64: [0921F5C2F6149005] (22.1420s+0.1212s)
(394^2838-1)^2-2 is composite: RES64: [2CB79E60EE0A4B02] (18.9254s+0.2385s)
(394^2844+1)^2-2 is composite: RES64: [685924932998F8E3] (20.4034s+0.2114s)
(394^2855+1)^2-2 is composite: RES64: [45CCC6889909970F] (19.4599s+0.4250s)
(394^2862-1)^2-2 is composite: RES64: [E766CD3593E6D475] (19.7196s+0.1422s)
(394^2870+1)^2-2 is composite: RES64: [B899DBE52FA13E27] (20.2409s+0.0971s)
(394^2883-1)^2-2 is composite: RES64: [B20A0FD12A0415C7] (19.6664s+0.2074s)
(394^2886-1)^2-2 is composite: RES64: [29895C812E2E38D4] (21.2466s+0.0410s)
(394^2887-1)^2-2 is composite: RES64: [1FEA738AD703EB7A] (20.9094s+0.1466s)
(394^2899-1)^2-2 is composite: RES64: [A2FDB38ACC3127CF] (20.0041s+0.2628s)
(394^2912+1)^2-2 is composite: RES64: [D98EF584AD6B7E70] (19.3365s+0.2003s)
(394^2919-1)^2-2 is composite: RES64: [B0164841493F93C6] (22.9852s+0.0981s)
(394^2922+1)^2-2 is composite: RES64: [7F604505B4F763C8] (20.1647s+0.1613s)
(394^2927+1)^2-2 is composite: RES64: [03247D3E45CD7080] (22.2423s+0.0761s)
(394^2935-1)^2-2 is composite: RES64: [10BA66346127258D] (20.9167s+0.2394s)
(394^2938-1)^2-2 is composite: RES64: [10D0795728CCBD09] (21.4211s+0.1814s)
(394^2942+1)^2-2 is composite: RES64: [24609E0D4F29C0B4] (20.2861s+0.1593s)
(394^2953-1)^2-2 is composite: RES64: [8F3F50F1070A06CA] (22.1620s+0.1653s)
(394^2970+1)^2-2 is composite: RES64: [E367CF350784E8F2] (21.4431s+0.1382s)
(394^2972+1)^2-2 is composite: RES64: [4DE4B8FD6EA8B92C] (21.3973s+0.1069s)
(394^2977-1)^2-2 is composite: RES64: [B2A3BA720B062217] (21.2707s+0.2014s)
(394^2979-1)^2-2 is composite: RES64: [5CDAC91AF3EBB190] (20.2600s+0.0971s)
(394^2980-1)^2-2 is composite: RES64: [933C35E3A07CC0F6] (20.1216s+0.2886s)
(394^2982+1)^2-2 is composite: RES64: [0C9B31AE74FA1EC2] (21.2195s+0.0590s)
(394^2987+1)^2-2 is composite: RES64: [6E98523C06D1D017] (20.9198s+0.1914s)
(394^2988-1)^2-2 is composite: RES64: [E4890A5F88819A7B] (22.1911s+0.0861s)
(394^2992-1)^2-2 is composite: RES64: [BAEF265DC59A91D1] (21.5194s+0.0821s)
(394^2994+1)^2-2 is composite: RES64: [26F5E826FEF2C028] (20.6761s+0.1543s)
(394^3003+1)^2-2 is composite: RES64: [28EC74ECF3E106A6] (22.2012s+0.0911s)
(394^3010-1)^2-2 is composite: RES64: [613BA05DBB3CDA47] (20.2820s+0.1954s)
(394^3015+1)^2-2 is composite: RES64: [7E5A887D8DB9BD11] (20.6250s+0.0811s)
(394^3027-1)^2-2 is composite: RES64: [58829A1FFD6568A7] (22.8780s+0.1693s)
(394^3036-1)^2-2 is composite: RES64: [88A363052791A146] (22.4288s+0.1673s)
(394^3039-1)^2-2 is composite: RES64: [3B38575448FEB421] (20.9739s+0.1613s)
(394^3054+1)^2-2 is composite: RES64: [88340DBBEC74F6D1] (22.3170s+0.1728s)
(394^3057-1)^2-2 is composite: RES64: [770C9937B9A4C90F] (21.1088s+0.2289s)
(394^3060+1)^2-2 is composite: RES64: [04317605EF925170] (22.8118s+0.0771s)
(394^3078-1)^2-2 is composite: RES64: [DED8074C73DBDCB1] (22.6574s+0.0871s)
(394^3081+1)^2-2 is composite: RES64: [1E3FDACD3731711A] (21.4963s+0.0751s)
(394^3084+1)^2-2 is composite: RES64: [53585B259BCF714D] (23.6299s+0.1643s)
(394^3087+1)^2-2 is composite: RES64: [F439C92909C4FAD2] (21.9996s+0.0881s)
(394^3103-1)^2-2 is composite: RES64: [AED39B207AB62763] (21.8683s+0.1272s)
(394^3105-1)^2-2 is composite: RES64: [9A77473A4053CB7D] (22.3967s+0.1963s)
(394^3109-1)^2-2 is composite: RES64: [7245C86F89D53919] (22.1610s+0.3017s)
(394^3110+1)^2-2 is composite: RES64: [BA6E753EBB41E38F] (23.1592s+0.0605s)
(394^3112-1)^2-2 is composite: RES64: [E2069BC9A8D34B78] (21.8733s+0.1433s)
(394^3117+1)^2-2 is composite: RES64: [821C54095B527A35] (22.7720s+0.0989s)
(394^3120+1)^2-2 is composite: RES64: [EDE6CBB8877337E9] (24.2947s+0.1471s)
(394^3127-1)^2-2 is composite: RES64: [14BC06E7791B4BA5] (22.6313s+0.1573s)
(394^3137+1)^2-2 is composite: RES64: [9A7FDA1753A2A162] (25.0808s+0.1001s)
(394^3138-1)^2-2 is composite: RES64: [305992DCA44653B1] (22.7616s+0.3087s)
(394^3144+1)^2-2 is composite: RES64: [E6CE541131230FF5] (22.6424s+0.0971s)
(394^3147+1)^2-2 is composite: RES64: [BBB861A27B482A31] (25.0106s+0.0991s)
(394^3148-1)^2-2 is composite: RES64: [24009D9DD381ECA9] (23.5267s+0.4280s)
