9E: [7,44,7,44,7,44,7,44,7,44,7,44,7,44,7,44,7,44,7,44,7,44,7,35]
X0: [25,9E,9E,9E,9E,9E,9E,9E,9E,9E,9E,9E,9E,9E,9E,9E,9E,9E,9E,9E,9E,9E,9E,81]
X1: [6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6]
X2: [2,4,8,14,28,55,8,14,28,55,8,14,28,55,8,14,28,55,8,14,28,55,8,12]
X3: [3,9,23,6E,3,9,23,6E,3,9,23,6E,3,9,23,6E,3,9,23,6E,3,9,23,68]
X4: [4,14,56,14,56,14,56,14,56,14,56,14,56,14,56,14,56,14,56,14,56,14,56,10]
X5: [X,44,X,44,X,44,X,44,X,44,X,44,X,44,X,44,X,44,X,44,X,44,X,44]
X6: [18,X5,X5,X5,X5,X5,X5,X5,X5,X5,X5,X5,X5,X5,X5,X5,X5,X5,X5,X5,X5,X5,X5,94]
X7: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
X8: [16,30,61,16,30,61,16,30,61,16,30,61,16,30,61,16,30,61,16,30,61,16,30,61]
X9: [3,9,23,6X,9E,85,3X,9,23,6X,9E,85,3X,9,23,6X,9E,85,3X,9,23,6X,9E,83]
XX: [X,90,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,28]
XE: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
E0: [11,22,44,89,67,22,44,89,67,22,44,89,67,22,44,89,67,22,44,89,67,22,44,79]
E1: [7,43,80,7,43,80,7,43,80,7,43,80,7,43,80,7,43,80,7,43,80,7,43,73]
E2: [2,4,8,14,28,54,X9,X5,99,85,59,4,8,14,28,54,X9,X5,99,85,59,4,8,12]
E3: [1X,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,51]
E4: [8,57,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,E3,X8]
E5: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
E6: [6,31,73,94,X5,52,84,42,21,10,63,31,73,94,X5,52,84,42,21,10,63,31,73,8X]
E7: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
E8: [1E,3X,79,3X,79,3X,79,3X,79,3X,79,3X,79,3X,79,3X,79,3X,79,3X,79,3X,79,26]
E9: [3,9,23,6X,8E,33,9E,64,74,X5,7E,3,9,23,6X,8E,33,9E,64,74,X5,7E,3,6]
EX: [2,4,8,14,28,54,X9,99,79,38,75,30,61,4,8,14,28,54,X9,99,79,38,75,2X]
EE: [E,XE,E,XE,E,XE,E,XE,E,XE,E,XE,E,XE,E,XE,E,XE,E,XE,E,XE,E,X2]
100: [2E,EE,EE,EE,EE,EE,EE,EE,EE,EE,EE,EE,EE,EE,EE,EE,EE,EE,EE,EE,EE,EE,EE,X8]
